Size;Mean;Anomaly;Deviation;Entropy
89;3.82022471910112;0.582643889448116;0.716078299312065;1.5478673904122
68;3.86764705882353;0.507331349457547;0.808617980107056;1.65014812080575
10;3.4;0.629337094755928;0.699205898780101;1.36096404744368
84;3.67857142857143;0.427502711852637;0.67948801217675;1.45921997740987
111;4.41441441441441;0.499167094236134;0.706701280193194;1.38481064857003
29;3.89655172413793;0.651058465178396;0.976320628914165;1.86323150117993
3;5;0.716478944242297;0;0
30;3.96666666666667;0.557124412107439;0.927857499958849;1.70689059560852
3;4.33333333333333;0.338271604938272;0.577350269189626;0.91829583405449
84;4.28571428571429;0.653850647592943;0.769469048226764;1.53735922642811
83;3.90361445783133;0.623354067000669;0.805687977964921;1.67793128416866
196;4.4234693877551;0.470242106861774;0.623686479490385;1.2968897207853
87;4.63218390804598;0.676483609223614;0.572934967873716;1.0967936115998
65;4.27692307692308;0.501949160320116;0.59967940152667;1.27773181315124
28;4;0.337562497114723;0.384900179459751;0.73452992143947
10;4.9;0.824775305372475;0.316227766016838;0.468995593589281
7;4.14285714285714;0.409796295899274;0.377964473009227;0.591672778582327
15;4.46666666666667;0.604586261200982;0.743223352957207;1.33826892807646
134;3.6044776119403;0.535358580173416;0.704642571542725;1.48263289921914
22;3.5;0.832642610072611;1.01183473147028;1.94566030460064
17;4.11764705882353;0.806550428819432;1.11143786045242;1.71307884262679
1;3;0.417721518987342;0;0
66;3.74242424242424;0.590938387432869;0.809759813593485;1.64906315792837
4;4.75;0.284760549381043;0.5;0.811278124459133
3;4;0.132117624871248;0;0
400;3.7125;0.51097399190947;0.735660751878633;1.52772102461149
2;5;0.460697197539303;0;0
49;4.18367346938776;0.34622551438985;0.44127983316311;0.866943997998272
27;4.40740740740741;0.616035103625784;0.747264717757073;1.39920754164022
13;4.46153846153846;0.731070522333438;0.776250025806185;1.33467914105159
2;3;1.04255319148936;1.4142135623731;1
11;3.18181818181818;0.60602585557251;0.750757193529548;1.49491884823395
19;4.63157894736842;0.43679779816907;0.597264720370148;1.10501399711353
42;3.88095238095238;0.797533801214687;1.06387191949584;1.87250090083144
10;4.7;0.45743013485165;0.483045891539648;0.881290899230693
114;4.39473684210526;0.508073658159693;0.81597350569334;1.45949861019578
3;4;0.724098022959415;1;1.58496250072116
29;4.13793103448276;0.563709660696814;0.693033596950727;1.45307325645359
97;3.64948453608247;0.647734388144459;0.957875656437659;1.89716864232668
192;4.10416666666667;0.48410521475206;0.758603934996367;1.54161977984165
16;4.5625;0.606655483156773;0.813941029804985;1.01409765557392
