Size;Mean;Anomaly;Deviation;Entropy
53;4.18867924528302;0.640221905830692;0.680966614272143;1.43658814165046
129;3.71317829457364;0.707568026535879;1.0015129059454;1.9531841903431
51;3.90196078431373;0.773261126289271;0.984985318891288;1.88340221340034
21;4.19047619047619;0.738282058785615;1.07791686224159;1.66758975854668
198;3.14646464646465;0.946179014383014;1.13269931685271;2.16159629751205
71;3.90140845070423;0.721175891034706;0.830747160735697;1.6897119505538
31;4.32258064516129;0.764276251219312;0.747756501105966;1.46172059381994
139;3.88489208633094;0.706795525847858;0.925321226563092;1.78996500356105
106;3.73584905660377;0.571334696595936;0.820010299499229;1.72045646868308
401;4.11471321695761;0.860455132507082;0.837739804503687;1.68471913361908
137;3.27737226277372;0.982255831650177;1.3489098376494;2.25333872574538
23;3.82608695652174;0.728178378644633;1.11404969340133;1.95133328393831
108;3.38888888888889;0.565924369593869;0.795235030600439;1.63451604980584
25;3.32;1.02150886292195;1.40593978059754;2.26282469236151
201;3.32338308457711;0.631718967542641;0.824560790671275;1.67448216946391
35;3.02857142857143;0.784110581567414;1.24819196972153;2.25304614550501
211;4.07582938388626;0.639334757168614;0.812950914753863;1.66525092876861
305;3.64918032786885;0.891654028460855;1.36143100879809;2.11823919606904
255;3.57254901960784;0.792042186944208;1.08389760960131;2.07946215120381
24;4.08333333333333;0.629490526903875;0.829702233998107;1.66605634217906
22;2.90909090909091;1.27482221821649;1.41114917402165;1.78992907531
297;3.06734006734007;0.777127408852562;1.01451159640182;1.98230828109959
304;3.31578947368421;0.880335240267353;1.02394469626584;2.04730258236391
136;3.94852941176471;0.528894034625934;0.828383995241932;1.56652268691136
85;3.74117647058824;0.915470371422388;1.10359737715724;2.04568299441895
400;2.96;0.883052044658305;1.03250431616883;2.03696358457603
70;4.17142857142857;0.745013899451604;1.17918454470714;1.75647959315647
107;3.75700934579439;0.614197330388008;0.856067374082459;1.77168535820416
108;3.58333333333333;0.899270999214328;1.05125648008271;1.97594749693622
43;3.48837209302326;0.852283838056349;0.935340351174903;1.8805850252245
119;3.73109243697479;0.796138014656233;1.02260450952869;1.95681841179903
48;3.625;0.789408171960317;1.00265604717479;1.94750012145657
