Size;Mean;Anomaly;Deviation;Entropy
2;5;0.9;0;0
128;4.0546875;0.571613777477825;0.844701818050206;1.71100654233277
2;3.5;0.138401559454191;0.707106781186548;1
1;3;0.849462365591398;0;0
19;4.21052631578947;0.826424641539302;1.27274625944674;1.52880181452532
3;4.33333333333333;0.235929507254793;0.577350269189626;0.91829583405449
1;3;0;0;0
1;1;1.12138728323699;0;0
3;3.33333333333333;1.14644850329782;2.08166599946613;1.58496250072116
22;4.04545454545455;0.867430691339011;1.29015586829738;1.84290785457652
3;4;0.204761904761905;1;1.58496250072116
43;3.2093023255814;0.865308099713126;1.24514561272938;2.14549038694247
32;4.34375;0.671250719659493;0.65300175369028;1.3543370204657
1;4;0.206106870229007;0;0
3;2.66666666666667;1.46350693664312;1.15470053837925;0.91829583405449
3;3.66666666666667;0.644505606523955;0.577350269189626;0.91829583405449
1;5;1.49324324324324;0;0
9;3;0.823259922251225;1.4142135623731;2.19715972342415
8;3.75;0.873853991242246;1.03509833901353;1.90563906222957
1;4;0.272727272727273;0;0
1;4;0.697099892588614;0;0
14;2.78571428571429;0.739834856329543;1.3114039117603;1.49261406801713
1;1;0.625;0;0
2;3;1.32267441860465;2.82842712474619;1
1;5;1.5;0;0
3;3.33333333333333;0.739299387466468;1.15470053837925;0.91829583405449
22;4;0.497376387938472;0.872871560943969;1.61718957259272
2;4.5;0.768496732026144;0.707106781186548;1
1;5;0.8;0;0
2;5;1.09566131498471;0;0
3;4.33333333333333;0.608189199533426;0.577350269189626;0.91829583405449
2;4;0.239130434782609;0;0
1;1;2.15384615384615;0;0
1;3;0.266666666666667;0;0
1;5;1.7;0;0
1;5;0.899038461538462;0;0
103;2.88349514563107;0.978948637941339;1.12285499975126;2.13626571855415
2;3;0.905811138014528;1.4142135623731;1
1;2;1.59259259259259;0;0
6;4.66666666666667;0.517096342515337;0.816496580927726;0.650022421648354
1;4;0.609756097560976;0;0
7;2.85714285714286;2.04879423113119;2.03540097839643;1.44881563572518
37;3.35135135135135;1.12484920082905;1.31690327444131;2.26086552662167
4;3.25;0.797615794268096;1.5;1.5
1;4;0.268115942028985;0;0
4;4.25;0.151147831085808;0.5;0.811278124459133
1;5;1.34848484848485;0;0
2;4.5;0.753968253968254;0.707106781186548;1
1;4;0.2;0;0
64;4.046875;0.527191940594667;0.862438173537444;1.58757953682608
1;5;0.996904024767802;0;0
1;4;0.222222222222222;0;0
6;4.33333333333333;0.774134071720994;0.516397779494322;0.91829583405449
59;3.86440677966102;0.576139163871391;0.860184966449059;1.7421323018476
13;4.07692307692308;0.592288796224324;0.75955452531275;1.52623490994952
45;3.55555555555556;0.87093911843797;1.25327852878244;2.15786907634416
182;3.64285714285714;0.805684404907428;1.18411613372723;2.10124269868755
1;5;1.5;0;0
1;2;1.65151515151515;0;0
1;5;0.666666666666667;0;0
1;5;1.14388489208633;0;0
1;3;0.302900107411386;0;0
13;3.84615384615385;0.994905601794147;1.57300952773941;1.88109476011007
12;3.83333333333333;0.636609677336765;0.937436866561092;1.82501121082418
1;2;2.3;0;0
1;4;0.272727272727273;0;0
31;3.80645161290323;0.46163151226298;0.601074307037529;1.2246069357305
1;4;0.0909090909090908;0;0
2;4.5;0.330434782608696;0.707106781186548;1
6;3.66666666666667;0.930639762536314;1.36626010212795;1.25162916738782
2;3.5;1.48618807377388;2.12132034355964;1
9;3.33333333333333;1.46351818476135;1.6583123951777;1.7527152789797
32;3.875;0.795958076242903;1.31369952866434;1.94783627671339
4;4.25;0.723018521725952;0.957427107756338;1.5
1;2;1.97872340425532;0;0
14;3.64285714285714;0.683941131518202;1.5984195491;1.87738706429661
2;5;1.06898834745763;0;0
26;3.84615384615385;0.566584021062201;0.731699812344253;1.54224225896976
2;3.5;0.1875;0.707106781186548;1
14;2.92857142857143;0.85325237538385;1.14113881811014;1.87738706429661
2;3;0.191990594246233;0;0
1;5;0.635346756152125;0;0
4;4.5;0.472108406718852;0.577350269189626;1
