5275	427	4
5275	567	3
5275	1216	4
5275	2029	5
5275	3304	5
5275	5271	5
5275	7780	5
5275	12157	4
5275	13196	5
5275	14610	5
5275	14963	4
5275	15251	4
5275	16090	4
5276	1485	4
5276	7731	3
5276	14814	4
5276	14905	5
5276	15064	3
5276	15437	1
5277	50	4
5277	314	4
5277	488	3
5277	2560	3
5277	4558	3
5277	6654	5
5277	6798	4
5277	8343	4
5277	9770	3
5277	10144	5
5277	10466	4
5277	10670	3
5277	10847	5
5277	14972	4
5277	15251	3
5277	15656	3
5277	16058	5
5277	17161	4
5277	17354	5
5278	2320	4
5278	2560	4
5278	3304	4
5278	7330	4
5278	7424	4
5279	1496	4
5279	6597	4
5279	6667	3
5279	8893	3
5279	9481	4
5279	11217	5
5279	12377	4
5279	12877	4
5279	15670	3
5280	2249	4
5280	4541	4
5280	9742	3
5280	12858	4
5280	13212	5
5281	431	5
5281	720	4
5281	757	4
5281	870	3
5281	1058	4
5281	1188	4
5281	1576	4
5281	1899	4
5281	2320	5
5281	2633	4
5281	2821	5
5281	2969	4
5281	3255	4
5281	3478	4
5281	4047	4
5281	4082	4
5281	4203	3
5281	4508	5
5281	4642	3
5281	4689	1
5281	4998	4
5281	6919	4
5281	7202	4
5281	7578	4
5281	8214	3
5281	8322	4
5281	8382	4
5281	8395	4
5281	9193	4
5281	9427	3
5281	9438	4
5281	9841	5
5281	10485	3
5281	11175	3
5281	11557	4
5281	11643	5
5281	11918	3
5281	13071	3
5281	13310	5
5281	13795	4
5281	14189	3
5281	14543	3
5281	15357	4
5281	16233	4
5281	17434	4
5282	1179	4
5282	1642	4
5282	1646	4
5282	2166	3
5282	3793	3
5282	4886	3
5282	7460	3
5282	8919	4
5282	10880	3
5282	11025	4
5282	11699	4
5282	14530	4
5282	14673	4
5282	14938	4
5282	16819	4
5283	229	3
5283	4410	3
5283	7360	3
5283	9238	3
5283	9541	5
5283	11347	3
5283	11408	3
5283	16181	4
5284	3051	2
5284	3311	3
5284	3619	3
5284	4056	3
